activity_id,week,day,date,distance_km,duration_min,cadence_spm,vertical_oscillation_cm,ground_contact_time_ms,step_speed_loss_pct,heart_rate_bpm,pace_min_km,power_watts,aerobic_te,improvement_phase,target_profile
synthetic_1043,15,1,2025-16-02,11.9,55.9,160.43,7.57,256.33,5.7,81.79,4.7,172.0,1.0,advanced,Steady Runner
synthetic_1044,15,2,2025-16-04,9.69,56.2,160.43,7.57,256.33,5.7,81.79,5.8,172.0,1.0,advanced,Steady Runner
synthetic_1045,15,3,2025-16-06,6.58,49.1,160.43,7.57,256.33,5.7,81.79,7.46,172.0,1.0,advanced,Steady Runner
synthetic_1046,16,1,2025-17-02,6.52,64.1,159.97,7.46,255.84,5.58,80.12,9.83,170.0,1.0,advanced,Steady Runner
synthetic_1047,16,2,2025-17-04,9.38,31.3,159.97,7.46,255.84,5.58,80.12,3.34,170.0,1.0,advanced,Steady Runner
synthetic_1048,16,3,2025-17-06,8.92,50.9,159.97,7.46,255.84,5.58,80.12,5.71,170.0,1.0,advanced,Steady Runner
synthetic_1001,1,1,2025-02-02,4.01,57.0,166.54,8.02,266.92,7.42,145.13,14.21,216.0,1.8,early,Efficient Runner
synthetic_1002,1,2,2025-02-04,10.7,61.7,166.54,8.02,266.92,7.42,145.13,5.77,216.0,1.8,early,Efficient Runner
synthetic_1003,1,3,2025-02-06,9.72,76.2,166.54,8.02,266.92,7.42,145.13,7.84,216.0,1.8,early,Efficient Runner
synthetic_1004,2,1,2025-03-02,4.4,62.2,167.42,8.1,264.31,7.57,138.16,14.14,214.0,1.4,early,Efficient Runner
synthetic_1005,2,2,2025-03-04,9.67,70.9,167.42,8.1,264.31,7.57,138.16,7.33,214.0,1.4,early,Efficient Runner
synthetic_1006,2,3,2025-03-06,7.5,70.0,167.42,8.1,264.31,7.57,138.16,9.33,214.0,1.4,early,Efficient Runner
synthetic_1007,3,1,2025-04-02,7.49,75.3,167.28,8.31,264.72,7.12,140.27,10.05,215.0,1.5,early,Efficient Runner
synthetic_1008,3,2,2025-04-04,4.33,41.8,167.28,8.31,264.72,7.12,140.27,9.65,215.0,1.5,early,Efficient Runner
synthetic_1009,3,3,2025-04-06,8.22,54.3,167.28,8.31,264.72,7.12,140.27,6.61,215.0,1.5,early,Efficient Runner
synthetic_1010,4,1,2025-05-02,7.34,46.5,166.22,8.19,265.59,6.8,133.5,6.34,209.0,1.2,early,Efficient Runner
synthetic_1011,4,2,2025-05-04,5.64,54.2,166.22,8.19,265.59,6.8,133.5,9.61,209.0,1.2,early,Efficient Runner
synthetic_1012,4,3,2025-05-06,4.35,35.9,166.22,8.19,265.59,6.8,133.5,8.25,209.0,1.2,early,Efficient Runner
synthetic_1013,5,1,2025-06-02,11.09,33.7,167.64,8.08,262.97,6.9,128.33,3.04,209.0,1.0,early,Efficient Runner
synthetic_1014,5,2,2025-06-04,5.18,30.3,167.64,8.08,262.97,6.9,128.33,5.85,209.0,1.0,early,Efficient Runner
synthetic_1015,5,3,2025-06-06,4.93,35.5,167.64,8.08,262.97,6.9,128.33,7.2,209.0,1.0,early,Efficient Runner
synthetic_1016,6,1,2025-07-02,6.31,39.8,168.22,7.94,261.62,6.55,126.45,6.31,210.0,1.0,early,Efficient Runner
synthetic_1017,6,2,2025-07-04,6.11,66.2,168.22,7.94,261.62,6.55,126.45,10.83,210.0,1.0,early,Efficient Runner
synthetic_1018,6,3,2025-07-06,7.95,55.6,168.22,7.94,261.62,6.55,126.45,6.99,210.0,1.0,early,Efficient Runner
synthetic_1019,7,1,2025-08-02,7.53,63.1,170.09,7.9,258.98,6.08,113.97,8.38,207.0,1.0,mid,Efficient Runner
synthetic_1020,7,2,2025-08-04,7.6,37.8,170.09,7.9,258.98,6.08,113.97,4.97,207.0,1.0,mid,Efficient Runner
synthetic_1021,7,3,2025-08-06,4.69,67.3,170.09,7.9,258.98,6.08,113.97,14.35,207.0,1.0,mid,Efficient Runner
synthetic_1022,8,1,2025-09-02,9.54,35.9,169.96,7.81,255.02,6.33,107.56,3.76,204.0,1.0,mid,Efficient Runner
synthetic_1023,8,2,2025-09-04,10.9,40.9,169.96,7.81,255.02,6.33,107.56,3.75,204.0,1.0,mid,Efficient Runner
synthetic_1024,8,3,2025-09-06,11.89,32.9,169.96,7.81,255.02,6.33,107.56,2.77,204.0,1.0,mid,Efficient Runner
synthetic_1025,9,1,2025-10-02,10.17,33.9,171.16,7.71,254.17,5.66,108.23,3.33,206.0,1.0,mid,Efficient Runner
synthetic_1026,9,2,2025-10-04,5.93,58.3,171.16,7.71,254.17,5.66,108.23,9.83,206.0,1.0,mid,Efficient Runner
synthetic_1027,9,3,2025-10-06,5.09,47.6,171.16,7.71,254.17,5.66,108.23,9.35,206.0,1.0,mid,Efficient Runner
synthetic_1028,10,1,2025-11-02,7.98,50.5,171.46,7.65,252.69,5.75,108.27,6.33,207.0,1.0,mid,Efficient Runner
synthetic_1029,10,2,2025-11-04,7.82,39.1,171.46,7.65,252.69,5.75,108.27,5.0,207.0,1.0,mid,Efficient Runner
synthetic_1030,10,3,2025-11-06,10.83,73.0,171.46,7.65,252.69,5.75,108.27,6.74,207.0,1.0,mid,Efficient Runner
synthetic_1031,11,1,2025-12-02,9.76,44.4,172.09,7.68,252.35,5.45,101.1,4.55,205.0,1.0,mid,Efficient Runner
synthetic_1032,11,2,2025-12-04,8.33,73.0,172.09,7.68,252.35,5.45,101.1,8.76,205.0,1.0,mid,Efficient Runner
synthetic_1033,11,3,2025-12-06,9.39,51.9,172.09,7.68,252.35,5.45,101.1,5.53,205.0,1.0,mid,Efficient Runner
synthetic_1034,12,1,2025-13-02,7.29,74.1,173.53,7.44,252.18,5.14,94.78,10.16,204.0,1.0,advanced,Efficient Runner
synthetic_1035,12,2,2025-13-04,9.22,67.8,173.53,7.44,252.18,5.14,94.78,7.35,204.0,1.0,advanced,Efficient Runner
synthetic_1036,12,3,2025-13-06,4.97,41.5,173.53,7.44,252.18,5.14,94.78,8.35,204.0,1.0,advanced,Efficient Runner
synthetic_1037,13,1,2025-14-02,5.23,34.7,172.82,7.39,248.07,5.38,100.53,6.63,206.0,1.0,advanced,Efficient Runner
synthetic_1038,13,2,2025-14-04,11.71,44.9,172.82,7.39,248.07,5.38,100.53,3.83,206.0,1.0,advanced,Efficient Runner
synthetic_1039,13,3,2025-14-06,10.02,70.2,172.82,7.39,248.07,5.38,100.53,7.01,206.0,1.0,advanced,Efficient Runner
synthetic_1040,14,1,2025-15-02,8.42,32.3,174.59,7.28,248.03,4.77,90.77,3.84,205.0,1.0,advanced,Efficient Runner
synthetic_1041,14,2,2025-15-04,6.43,57.6,174.59,7.28,248.03,4.77,90.77,8.96,205.0,1.0,advanced,Efficient Runner
synthetic_1042,14,3,2025-15-06,11.48,76.9,174.59,7.28,248.03,4.77,90.77,6.7,205.0,1.0,advanced,Efficient Runner
synthetic_1043,15,1,2025-16-02,10.64,44.6,173.63,7.25,244.76,4.65,89.52,4.19,202.0,1.0,advanced,Efficient Runner
synthetic_1044,15,2,2025-16-04,5.39,40.8,173.63,7.25,244.76,4.65,89.52,7.57,202.0,1.0,advanced,Efficient Runner
synthetic_1045,15,3,2025-16-06,6.6,32.0,173.63,7.25,244.76,4.65,89.52,4.85,202.0,1.0,advanced,Efficient Runner
synthetic_1046,16,1,2025-17-02,7.17,76.6,175.06,7.26,244.25,4.62,85.16,10.68,203.0,1.0,advanced,Efficient Runner
synthetic_1047,16,2,2025-17-04,7.42,73.6,175.06,7.26,244.25,4.62,85.16,9.92,203.0,1.0,advanced,Efficient Runner
synthetic_1048,16,3,2025-17-06,10.86,65.2,175.06,7.26,244.25,4.62,85.16,6.0,203.0,1.0,advanced,Efficient Runner
synthetic_1001,1,1,2025-02-02,8.01,30.1,165.99,8.44,268.84,7.59,148.27,3.76,216.0,1.9,early,Balanced Runner
synthetic_1002,1,2,2025-02-04,9.36,46.5,165.99,8.44,268.84,7.59,148.27,4.97,216.0,1.9,early,Balanced Runner
synthetic_1003,1,3,2025-02-06,8.37,61.2,165.99,8.44,268.84,7.59,148.27,7.31,216.0,1.9,early,Balanced Runner
synthetic_1004,2,1,2025-03-02,9.6,36.0,165.98,8.38,268.37,7.39,141.73,3.75,213.0,1.6,early,Balanced Runner
synthetic_1005,2,2,2025-03-04,5.22,72.5,165.98,8.38,268.37,7.39,141.73,13.89,213.0,1.6,early,Balanced Runner
synthetic_1006,2,3,2025-03-06,8.08,35.8,165.98,8.38,268.37,7.39,141.73,4.43,213.0,1.6,early,Balanced Runner
synthetic_1007,3,1,2025-04-02,9.75,61.8,166.49,8.31,267.5,7.17,134.71,6.34,210.0,1.2,early,Balanced Runner
synthetic_1008,3,2,2025-04-04,6.09,40.0,166.49,8.31,267.5,7.17,134.71,6.57,210.0,1.2,early,Balanced Runner
synthetic_1009,3,3,2025-04-06,10.38,35.0,166.49,8.31,267.5,7.17,134.71,3.37,210.0,1.2,early,Balanced Runner
synthetic_1010,4,1,2025-05-02,8.22,59.7,166.6,8.38,266.63,7.33,127.72,7.26,207.0,1.0,early,Balanced Runner
synthetic_1011,4,2,2025-05-04,10.57,56.6,166.6,8.38,266.63,7.33,127.72,5.35,207.0,1.0,early,Balanced Runner
synthetic_1012,4,3,2025-05-06,11.47,65.7,166.6,8.38,266.63,7.33,127.72,5.73,207.0,1.0,early,Balanced Runner
synthetic_1013,5,1,2025-06-02,11.8,40.2,167.06,8.31,266.87,7.06,127.65,3.41,208.0,1.0,early,Balanced Runner
synthetic_1014,5,2,2025-06-04,5.33,44.3,167.06,8.31,266.87,7.06,127.65,8.31,208.0,1.0,early,Balanced Runner
synthetic_1015,5,3,2025-06-06,10.24,69.0,167.06,8.31,266.87,7.06,127.65,6.74,208.0,1.0,early,Balanced Runner
synthetic_1016,6,1,2025-07-02,5.92,38.8,167.48,8.26,265.89,7.19,124.61,6.55,207.0,1.0,mid,Balanced Runner
synthetic_1017,6,2,2025-07-04,6.14,54.2,167.48,8.26,265.89,7.19,124.61,8.83,207.0,1.0,mid,Balanced Runner
synthetic_1018,6,3,2025-07-06,4.38,68.4,167.48,8.26,265.89,7.19,124.61,15.62,207.0,1.0,mid,Balanced Runner
synthetic_1019,7,1,2025-08-02,7.46,51.2,167.53,8.25,264.43,6.94,119.38,6.86,205.0,1.0,mid,Balanced Runner
synthetic_1020,7,2,2025-08-04,11.75,70.7,167.53,8.25,264.43,6.94,119.38,6.02,205.0,1.0,mid,Balanced Runner
synthetic_1021,7,3,2025-08-06,9.48,48.6,167.53,8.25,264.43,6.94,119.38,5.13,205.0,1.0,mid,Balanced Runner
synthetic_1022,8,1,2025-09-02,6.7,47.5,168.01,8.26,263.85,6.91,116.38,7.09,204.0,1.0,mid,Balanced Runner
synthetic_1023,8,2,2025-09-04,7.89,53.7,168.01,8.26,263.85,6.91,116.38,6.81,204.0,1.0,mid,Balanced Runner
synthetic_1024,8,3,2025-09-06,8.39,60.0,168.01,8.26,263.85,6.91,116.38,7.15,204.0,1.0,mid,Balanced Runner
synthetic_1025,9,1,2025-10-02,11.83,38.9,168.32,8.17,263.33,6.83,110.14,3.29,202.0,1.0,mid,Balanced Runner
synthetic_1026,9,2,2025-10-04,6.75,76.5,168.32,8.17,263.33,6.83,110.14,11.33,202.0,1.0,mid,Balanced Runner
synthetic_1027,9,3,2025-10-06,4.84,49.5,168.32,8.17,263.33,6.83,110.14,10.23,202.0,1.0,mid,Balanced Runner
synthetic_1028,10,1,2025-11-02,9.27,74.5,168.2,8.16,263.84,6.61,107.88,8.04,200.0,1.0,mid,Balanced Runner
synthetic_1029,10,2,2025-11-04,4.35,42.1,168.2,8.16,263.84,6.61,107.88,9.68,200.0,1.0,mid,Balanced Runner
synthetic_1030,10,3,2025-11-06,4.93,62.6,168.2,8.16,263.84,6.61,107.88,12.7,200.0,1.0,mid,Balanced Runner
synthetic_1031,11,1,2025-12-02,8.39,52.1,168.46,8.14,262.75,6.55,101.21,6.21,198.0,1.0,mid,Balanced Runner
synthetic_1032,11,2,2025-12-04,7.48,74.3,168.46,8.14,262.75,6.55,101.21,9.93,198.0,1.0,mid,Balanced Runner
synthetic_1033,11,3,2025-12-06,6.26,45.0,168.46,8.14,262.75,6.55,101.21,7.19,198.0,1.0,mid,Balanced Runner
synthetic_1034,12,1,2025-13-02,6.97,57.8,169.3,8.1,263.2,6.47,104.81,8.29,201.0,1.0,advanced,Balanced Runner
synthetic_1035,12,2,2025-13-04,6.11,44.5,169.3,8.1,263.2,6.47,104.81,7.28,201.0,1.0,advanced,Balanced Runner
synthetic_1036,12,3,2025-13-06,9.47,48.9,169.3,8.1,263.2,6.47,104.81,5.16,201.0,1.0,advanced,Balanced Runner
synthetic_1037,13,1,2025-14-02,7.02,42.0,169.46,8.09,261.73,6.32,96.51,5.98,197.0,1.0,advanced,Balanced Runner
synthetic_1038,13,2,2025-14-04,6.8,40.6,169.46,8.09,261.73,6.32,96.51,5.97,197.0,1.0,advanced,Balanced Runner
synthetic_1039,13,3,2025-14-06,11.25,36.0,169.46,8.09,261.73,6.32,96.51,3.2,197.0,1.0,advanced,Balanced Runner
synthetic_1040,14,1,2025-15-02,5.54,39.5,169.7,8.05,261.54,6.32,94.45,7.13,197.0,1.0,advanced,Balanced Runner
synthetic_1041,14,2,2025-15-04,4.38,46.2,169.7,8.05,261.54,6.32,94.45,10.55,197.0,1.0,advanced,Balanced Runner
synthetic_1042,14,3,2025-15-06,4.34,34.0,169.7,8.05,261.54,6.32,94.45,7.83,197.0,1.0,advanced,Balanced Runner
synthetic_1043,15,1,2025-16-02,7.7,67.5,170.0,8.06,260.04,6.07,85.5,8.77,193.0,1.0,advanced,Balanced Runner
synthetic_1044,15,2,2025-16-04,8.03,72.1,170.0,8.06,260.04,6.07,85.5,8.98,193.0,1.0,advanced,Balanced Runner
synthetic_1045,15,3,2025-16-06,11.29,56.9,170.0,8.06,260.04,6.07,85.5,5.04,193.0,1.0,advanced,Balanced Runner
synthetic_1046,16,1,2025-17-02,10.51,73.8,170.01,8.03,259.9,5.97,82.52,7.02,191.0,1.0,advanced,Balanced Runner
synthetic_1047,16,2,2025-17-04,7.3,76.6,170.01,8.03,259.9,5.97,82.52,10.49,191.0,1.0,advanced,Balanced Runner
synthetic_1048,16,3,2025-17-06,4.3,41.5,170.01,8.03,259.9,5.97,82.52,9.65,191.0,1.0,advanced,Balanced Runner
